Model,TBS2102B
Firmware Version,v1.31.14

Point Format,Y,
-1.262e-02,-1.12,0.136
-1.261e-02,-1.16,0.168
-1.259e-02,-1.16,0.2
-1.258e-02,-1.2,0.232
-1.256e-02,-1.2,0.264
-1.254e-02,-1.24,0.296
-1.253e-02,-1.28,0.328
-1.251e-02,-1.32,0.368
-1.250e-02,-1.36,0.4
-1.248e-02,-1.36,0.448
-1.246e-02,-1.4,0.48
-1.245e-02,-1.44,0.512
-1.243e-02,-1.44,0.552
-1.242e-02,-1.4,0.584
-1.240e-02,-1.4,0.616
-1.238e-02,-1.32,0.648
-1.237e-02,-1.24,0.664
-1.235e-02,-1.12,0.688
-1.234e-02,-0.92,0.704
-1.232e-02,-0.68,0.704
-1.230e-02,-0.48,0.704
-1.229e-02,-0.2,0.688
-1.227e-02,0.08,0.664
-1.226e-02,0.36,0.632
-1.224e-02,0.72,0.584
-1.222e-02,1,0.536
-1.221e-02,1.28,0.48
-1.219e-02,1.52,0.408
-1.218e-02,1.76,0.344
-1.216e-02,1.96,0.264
-1.214e-02,2.04,0.192
-1.213e-02,2.16,0.12
-1.211e-02,2.28,0.032
-1.210e-02,2.32,-0.04
-1.208e-02,2.36,-0.112
-1.206e-02,2.4,-0.192
-1.205e-02,2.4,-0.256
-1.203e-02,2.36,-0.328
-1.202e-02,2.36,-0.4
-1.200e-02,2.32,-0.456
-1.198e-02,2.28,-0.504
-1.197e-02,2.2,-0.56
-1.195e-02,2.08,-0.616
-1.194e-02,2,-0.656
-1.192e-02,1.84,-0.688
-1.190e-02,1.64,-0.72
-1.189e-02,1.44,-0.744
-1.187e-02,1.16,-0.76
-1.186e-02,0.88,-0.768
-1.184e-02,0.6,-0.752
-1.182e-02,0.28,-0.736
-1.181e-02,-0.04,-0.712
-1.179e-02,-0.36,-0.672
-1.178e-02,-0.6,-0.632
-1.176e-02,-0.92,-0.584
-1.174e-02,-1.08,-0.528
-1.173e-02,-1.24,-0.472
-1.171e-02,-1.36,-0.416
-1.170e-02,-1.44,-0.36
-1.168e-02,-1.48,-0.304
-1.166e-02,-1.48,-0.248
-1.165e-02,-1.44,-0.192
-1.163e-02,-1.4,-0.144
-1.162e-02,-1.36,-0.096
-1.160e-02,-1.32,-0.064
-1.158e-02,-1.24,-0.016
-1.157e-02,-1.24,0.016
-1.155e-02,-1.2,0.056
-1.154e-02,-1.16,0.088
-1.152e-02,-1.16,0.128
-1.150e-02,-1.16,0.152
-1.149e-02,-1.16,0.184
-1.147e-02,-1.12,0.216
-1.146e-02,-1.2,0.248
-1.144e-02,-1.24,0.28
-1.142e-02,-1.24,0.32
-1.141e-02,-1.28,0.352
-1.139e-02,-1.32,0.392
-1.138e-02,-1.4,0.424
-1.136e-02,-1.4,0.464
-1.134e-02,-1.44,0.496
-1.133e-02,-1.44,0.536
-1.131e-02,-1.44,0.568
-1.130e-02,-1.4,0.6
-1.128e-02,-1.36,0.632
-1.126e-02,-1.24,0.664
-1.125e-02,-1.16,0.68
-1.123e-02,-1,0.696
-1.122e-02,-0.8,0.704
-1.120e-02,-0.56,0.704
-1.118e-02,-0.36,0.696
-1.117e-02,-0.08,0.672
-1.115e-02,0.24,0.648
-1.114e-02,0.6,0.608
-1.112e-02,0.84,0.56
-1.110e-02,1.16,0.504
-1.109e-02,1.44,0.44
-1.107e-02,1.64,0.376
-1.106e-02,1.88,0.304
-1.104e-02,2,0.224
-1.102e-02,2.16,0.144
-1.101e-02,2.24,0.064
-1.099e-02,2.32,-0.008
-1.098e-02,2.36,-0.08
-1.096e-02,2.36,-0.16
-1.094e-02,2.36,-0.232
-1.093e-02,2.4,-0.296
-1.091e-02,2.4,-0.368
-1.090e-02,2.36,-0.424
-1.088e-02,2.28,-0.488
-1.086e-02,2.24,-0.544
-1.085e-02,2.16,-0.592
-1.083e-02,2.04,-0.632
-1.082e-02,1.88,-0.672
-1.080e-02,1.72,-0.712
-1.078e-02,1.52,-0.736
-1.077e-02,1.32,-0.752
-1.075e-02,1,-0.76
-1.074e-02,0.72,-0.76
-1.072e-02,0.44,-0.744
-1.070e-02,0.08,-0.72
-1.069e-02,-0.2,-0.696
-1.067e-02,-0.56,-0.656
-1.066e-02,-0.76,-0.608
-1.064e-02,-1,-0.552
-1.062e-02,-1.2,-0.496
-1.061e-02,-1.32,-0.44
-1.059e-02,-1.4,-0.384
-1.058e-02,-1.44,-0.328
-1.056e-02,-1.48,-0.264
-1.054e-02,-1.48,-0.224
-1.053e-02,-1.44,-0.16
-1.051e-02,-1.4,-0.12
-1.050e-02,-1.36,-0.072
-1.048e-02,-1.28,-0.032
-1.046e-02,-1.2,0
-1.045e-02,-1.16,0.032
-1.043e-02,-1.2,0.072
-1.042e-02,-1.16,0.112
-1.040e-02,-1.12,0.136
-1.038e-02,-1.16,0.168
-1.037e-02,-1.16,0.208
-1.035e-02,-1.16,0.232
-1.034e-02,-1.2,0.264
-1.032e-02,-1.24,0.304
-1.030e-02,-1.28,0.336
-1.029e-02,-1.28,0.368
-1.027e-02,-1.36,0.416
-1.026e-02,-1.4,0.448
-1.024e-02,-1.4,0.48
-1.022e-02,-1.4,0.52
-1.021e-02,-1.44,0.56
-1.019e-02,-1.44,0.584
-1.018e-02,-1.36,0.616
-1.016e-02,-1.32,0.648
-1.014e-02,-1.24,0.672
-1.013e-02,-1.08,0.688
-1.011e-02,-0.88,0.704
-1.010e-02,-0.72,0.712
-1.008e-02,-0.44,0.696
-1.006e-02,-0.16,0.688
-1.005e-02,0.08,0.664
-1.003e-02,0.4,0.624
-1.002e-02,0.72,0.584
-1.000e-02,1,0.528
-9.984e-03,1.28,0.472
-9.968e-03,1.56,0.408
-9.952e-03,1.76,0.336
-9.936e-03,1.92,0.256
-9.920e-03,2.08,0.184
-9.904e-03,2.2,0.104
-9.888e-03,2.28,0.024
-9.872e-03,2.32,-0.048
-9.856e-03,2.36,-0.12
-9.840e-03,2.4,-0.192
-9.824e-03,2.4,-0.264
-9.808e-03,2.36,-0.336
-9.792e-03,2.32,-0.4
-9.776e-03,2.32,-0.456
-9.760e-03,2.28,-0.512
-9.744e-03,2.2,-0.568
-9.728e-03,2.08,-0.616
-9.712e-03,1.96,-0.656
-9.696e-03,1.84,-0.696
-9.680e-03,1.6,-0.72
-9.664e-03,1.4,-0.744
-9.648e-03,1.16,-0.752
-9.632e-03,0.88,-0.76
-9.616e-03,0.56,-0.752
-9.600e-03,0.2,-0.744
-9.584e-03,-0.08,-0.712
-9.568e-03,-0.36,-0.672
-9.552e-03,-0.64,-0.624
-9.536e-03,-0.96,-0.584
-9.520e-03,-1.12,-0.528
-9.504e-03,-1.28,-0.464
-9.488e-03,-1.4,-0.408
-9.472e-03,-1.44,-0.352
-9.456e-03,-1.48,-0.296
-9.440e-03,-1.48,-0.24
-9.424e-03,-1.48,-0.184
-9.408e-03,-1.44,-0.136
-9.392e-03,-1.36,-0.088
-9.376e-03,-1.32,-0.048
-9.360e-03,-1.28,-0.008
-9.344e-03,-1.24,0.024
-9.328e-03,-1.16,0.056
-9.312e-03,-1.16,0.088
-9.296e-03,-1.16,0.12
-9.280e-03,-1.12,0.16
-9.264e-03,-1.16,0.184
-9.248e-03,-1.2,0.216
-9.232e-03,-1.16,0.248
-9.216e-03,-1.2,0.288
-9.200e-03,-1.24,0.32
-9.184e-03,-1.32,0.352
-9.168e-03,-1.36,0.392
-9.152e-03,-1.4,0.424
-9.136e-03,-1.4,0.464
-9.120e-03,-1.44,0.504
-9.104e-03,-1.44,0.536
-9.088e-03,-1.44,0.576
-9.072e-03,-1.4,0.6
-9.056e-03,-1.36,0.632
-9.040e-03,-1.24,0.656
-9.024e-03,-1.16,0.68
-9.008e-03,-1,0.696
-8.992e-03,-0.8,0.704
-8.976e-03,-0.52,0.704
-8.960e-03,-0.32,0.696
-8.944e-03,0,0.672
-8.928e-03,0.32,0.64
-8.912e-03,0.6,0.608
-8.896e-03,0.88,0.552
-8.880e-03,1.2,0.496
-8.864e-03,1.44,0.432
-8.848e-03,1.68,0.368
-8.832e-03,1.88,0.288
-8.816e-03,2.04,0.216
-8.800e-03,2.16,0.136
-8.784e-03,2.24,0.056
-8.768e-03,2.32,-0.024
-8.752e-03,2.36,-0.088
-8.736e-03,2.36,-0.16
-8.720e-03,2.36,-0.232
-8.704e-03,2.4,-0.304
-8.688e-03,2.36,-0.368
-8.672e-03,2.32,-0.432
-8.656e-03,2.28,-0.488
-8.640e-03,2.24,-0.544
-8.624e-03,2.16,-0.6
-8.608e-03,2.04,-0.64
-8.592e-03,1.88,-0.68
-8.576e-03,1.72,-0.712
-8.560e-03,1.52,-0.736
-8.544e-03,1.24,-0.752
-8.528e-03,1,-0.76
-8.512e-03,0.72,-0.76
-8.496e-03,0.36,-0.744
-8.480e-03,0.04,-0.72
-8.464e-03,-0.24,-0.688
-8.448e-03,-0.56,-0.648
-8.432e-03,-0.8,-0.6
-8.416e-03,-1.04,-0.552
-8.400e-03,-1.2,-0.488
-8.384e-03,-1.32,-0.432
-8.368e-03,-1.4,-0.384
-8.352e-03,-1.48,-0.32
-8.336e-03,-1.48,-0.264
-8.320e-03,-1.48,-0.208
-8.304e-03,-1.4,-0.16
-8.288e-03,-1.4,-0.12
-8.272e-03,-1.36,-0.072
-8.256e-03,-1.28,-0.024
-8.240e-03,-1.24,0
-8.224e-03,-1.2,0.04
-8.208e-03,-1.16,0.08
-8.192e-03,-1.16,0.104
-8.176e-03,-1.12,0.144
-8.160e-03,-1.16,0.168
-8.144e-03,-1.12,0.2
-8.128e-03,-1.2,0.24
-8.112e-03,-1.24,0.272
-8.096e-03,-1.24,0.304
-8.080e-03,-1.24,0.336
-8.064e-03,-1.28,0.376
-8.048e-03,-1.36,0.408
-8.032e-03,-1.4,0.448
-8.016e-03,-1.4,0.488
-8.000e-03,-1.44,0.52
-7.984e-03,-1.44,0.56
-7.968e-03,-1.44,0.592
-7.952e-03,-1.36,0.624
-7.936e-03,-1.32,0.648
-7.920e-03,-1.2,0.672
-7.904e-03,-1.04,0.696
-7.888e-03,-0.92,0.704
-7.872e-03,-0.68,0.704
-7.856e-03,-0.4,0.696
-7.840e-03,-0.16,0.68
-7.824e-03,0.12,0.656
-7.808e-03,0.44,0.624
-7.792e-03,0.76,0.576
-7.776e-03,1.04,0.528
-7.760e-03,1.32,0.464
-7.744e-03,1.56,0.4
-7.728e-03,1.76,0.328
-7.712e-03,1.96,0.256
-7.696e-03,2.12,0.184
-7.680e-03,2.2,0.096
-7.664e-03,2.28,0.016
-7.648e-03,2.36,-0.056
-7.632e-03,2.4,-0.128
-7.616e-03,2.36,-0.208
-7.600e-03,2.36,-0.272
-7.584e-03,2.4,-0.344
-7.568e-03,2.36,-0.4
-7.552e-03,2.32,-0.464
-7.536e-03,2.24,-0.52
-7.520e-03,2.16,-0.576
-7.504e-03,2.08,-0.624
-7.488e-03,1.96,-0.664
-7.472e-03,1.76,-0.696
-7.456e-03,1.56,-0.728
-7.440e-03,1.4,-0.744
-7.424e-03,1.12,-0.76
-7.408e-03,0.8,-0.76
-7.392e-03,0.52,-0.752
-7.376e-03,0.2,-0.736
-7.360e-03,-0.08,-0.704
-7.344e-03,-0.4,-0.672
-7.328e-03,-0.72,-0.624
-7.312e-03,-0.92,-0.576
-7.296e-03,-1.12,-0.52
-7.280e-03,-1.28,-0.464
-7.264e-03,-1.4,-0.4
-7.248e-03,-1.44,-0.344
-7.232e-03,-1.48,-0.288
-7.216e-03,-1.48,-0.232
-7.200e-03,-1.48,-0.192
-7.184e-03,-1.4,-0.136
-7.168e-03,-1.36,-0.088
-7.152e-03,-1.32,-0.048
-7.136e-03,-1.28,-0.008
-7.120e-03,-1.2,0.024
-7.104e-03,-1.2,0.056
-7.088e-03,-1.16,0.096
-7.072e-03,-1.16,0.128
-7.056e-03,-1.16,0.16
-7.040e-03,-1.16,0.192
-7.024e-03,-1.16,0.224
-7.008e-03,-1.2,0.264
-6.992e-03,-1.2,0.288
-6.976e-03,-1.28,0.32
-6.960e-03,-1.32,0.36
-6.944e-03,-1.32,0.392
-6.928e-03,-1.36,0.432
-6.912e-03,-1.44,0.472
-6.896e-03,-1.44,0.504
-6.880e-03,-1.44,0.544
-6.864e-03,-1.44,0.576
-6.848e-03,-1.4,0.616
-6.832e-03,-1.36,0.64
-6.816e-03,-1.24,0.664
-6.800e-03,-1.16,0.68
-6.784e-03,-0.96,0.696
-6.768e-03,-0.76,0.704
-6.752e-03,-0.56,0.704
-6.736e-03,-0.24,0.688
-6.720e-03,0.04,0.672
-6.704e-03,0.32,0.64
-6.688e-03,0.6,0.6
-6.672e-03,0.92,0.552
-6.656e-03,1.2,0.496
-6.640e-03,1.44,0.424
-6.624e-03,1.68,0.36
-6.608e-03,1.92,0.288
-6.592e-03,2.04,0.208
-6.576e-03,2.16,0.128
-6.560e-03,2.28,0.048
-6.544e-03,2.32,-0.032
-6.528e-03,2.36,-0.104
-6.512e-03,2.36,-0.176
-6.496e-03,2.36,-0.248
-6.480e-03,2.36,-0.312
-6.464e-03,2.36,-0.376
-6.448e-03,2.32,-0.44
-6.432e-03,2.32,-0.496
-6.416e-03,2.24,-0.552
-6.400e-03,2.08,-0.6
-6.384e-03,2,-0.64
-6.368e-03,1.92,-0.688
-6.352e-03,1.72,-0.712
-6.336e-03,1.48,-0.736
-6.320e-03,1.24,-0.752
-6.304e-03,0.96,-0.768
-6.288e-03,0.68,-0.76
-6.272e-03,0.32,-0.744
-6.256e-03,0.04,-0.72
-6.240e-03,-0.28,-0.68
-6.224e-03,-0.56,-0.64
-6.208e-03,-0.84,-0.592
-6.192e-03,-1.08,-0.544
-6.176e-03,-1.24,-0.488
-6.160e-03,-1.32,-0.432
-6.144e-03,-1.44,-0.368
-6.128e-03,-1.48,-0.312
-6.112e-03,-1.48,-0.256
-6.096e-03,-1.44,-0.208
-6.080e-03,-1.44,-0.152
-6.064e-03,-1.4,-0.112
-6.048e-03,-1.28,-0.064
-6.032e-03,-1.24,-0.024
-6.016e-03,-1.24,0.008
-6.000e-03,-1.2,0.04
-5.984e-03,-1.16,0.08
-5.968e-03,-1.16,0.112
-5.952e-03,-1.2,0.144
-5.936e-03,-1.16,0.184
-5.920e-03,-1.16,0.208
-5.904e-03,-1.2,0.24
-5.888e-03,-1.2,0.272
-5.872e-03,-1.24,0.304
-5.856e-03,-1.28,0.352
-5.840e-03,-1.32,0.376
-5.824e-03,-1.36,0.416
-5.808e-03,-1.4,0.448
-5.792e-03,-1.4,0.496
-5.776e-03,-1.44,0.528
-5.760e-03,-1.44,0.56
-5.744e-03,-1.4,0.6
-5.728e-03,-1.36,0.624
-5.712e-03,-1.32,0.648
-5.696e-03,-1.16,0.672
-5.680e-03,-1.04,0.688
-5.664e-03,-0.88,0.704
-5.648e-03,-0.64,0.704
-5.632e-03,-0.4,0.696
-5.616e-03,-0.12,0.68
-5.600e-03,0.2,0.656
-5.584e-03,0.52,0.616
-5.568e-03,0.76,0.576
-5.552e-03,1.08,0.52
-5.536e-03,1.36,0.456
-5.520e-03,1.6,0.392
-5.504e-03,1.8,0.32
-5.488e-03,1.96,0.248
-5.472e-03,2.12,0.168
-5.456e-03,2.24,0.088
-5.440e-03,2.28,0.008
-5.424e-03,2.36,-0.072
-5.408e-03,2.36,-0.136
-5.392e-03,2.36,-0.216
-5.376e-03,2.36,-0.28
-5.360e-03,2.36,-0.352
-5.344e-03,2.36,-0.408
-5.328e-03,2.28,-0.472
-5.312e-03,2.24,-0.536
-5.296e-03,2.2,-0.584
-5.280e-03,2.08,-0.624
-5.264e-03,1.92,-0.664
-5.248e-03,1.8,-0.704
-5.232e-03,1.56,-0.728
-5.216e-03,1.4,-0.752
-5.200e-03,1.08,-0.76
-5.184e-03,0.8,-0.76
-5.168e-03,0.48,-0.752
-5.152e-03,0.2,-0.736
-5.136e-03,-0.12,-0.704
-5.120e-03,-0.44,-0.664
-5.104e-03,-0.68,-0.616
-5.088e-03,-0.92,-0.568
-5.072e-03,-1.16,-0.512
-5.056e-03,-1.32,-0.456
-5.040e-03,-1.4,-0.392
-5.024e-03,-1.44,-0.344
-5.008e-03,-1.48,-0.28
-4.992e-03,-1.48,-0.232
-4.976e-03,-1.44,-0.176
-4.960e-03,-1.36,-0.128
-4.944e-03,-1.36,-0.088
-4.928e-03,-1.32,-0.04
-4.912e-03,-1.24,0
-4.896e-03,-1.2,0.032
-4.880e-03,-1.16,0.064
-4.864e-03,-1.16,0.096
-4.848e-03,-1.16,0.128
-4.832e-03,-1.16,0.16
-4.816e-03,-1.16,0.192
-4.800e-03,-1.16,0.224
-4.784e-03,-1.2,0.256
-4.768e-03,-1.2,0.288
-4.752e-03,-1.28,0.328
-4.736e-03,-1.28,0.36
-4.720e-03,-1.32,0.408
-4.704e-03,-1.36,0.44
-4.688e-03,-1.4,0.48
-4.672e-03,-1.44,0.512
-4.656e-03,-1.4,0.544
-4.640e-03,-1.44,0.584
-4.624e-03,-1.4,0.616
-4.608e-03,-1.32,0.64
-4.592e-03,-1.24,0.672
-4.576e-03,-1.12,0.688
-4.560e-03,-0.96,0.696
-4.544e-03,-0.76,0.712
-4.528e-03,-0.52,0.696
-4.512e-03,-0.2,0.688
-4.496e-03,0.04,0.664
-4.480e-03,0.32,0.632
-4.464e-03,0.68,0.592
-4.448e-03,0.96,0.544
-4.432e-03,1.2,0.488
-4.416e-03,1.48,0.424
-4.400e-03,1.72,0.352
-4.384e-03,1.88,0.28
-4.368e-03,2.04,0.208
-4.352e-03,2.2,0.12
-4.336e-03,2.32,0.04
-4.320e-03,2.32,-0.04
-4.304e-03,2.36,-0.104
-4.288e-03,2.4,-0.176
-4.272e-03,2.44,-0.248
-4.256e-03,2.36,-0.32
-4.240e-03,2.36,-0.384
-4.224e-03,2.32,-0.44
-4.208e-03,2.32,-0.504
-4.192e-03,2.16,-0.56
-4.176e-03,2.12,-0.608
-4.160e-03,2,-0.648
-4.144e-03,1.88,-0.688
-4.128e-03,1.64,-0.72
-4.112e-03,1.44,-0.744
-4.096e-03,1.2,-0.752
-4.080e-03,0.96,-0.76
-4.064e-03,0.64,-0.76
-4.048e-03,0.32,-0.744
-4.032e-03,-0.04,-0.72
-4.016e-03,-0.32,-0.68
-4.000e-03,-0.6,-0.64
-3.984e-03,-0.88,-0.592
-3.968e-03,-1.08,-0.536
-3.952e-03,-1.2,-0.48
-3.936e-03,-1.36,-0.424
-3.920e-03,-1.48,-0.36
-3.904e-03,-1.48,-0.304
-3.888e-03,-1.48,-0.248
-3.872e-03,-1.48,-0.2
-3.856e-03,-1.44,-0.152
-3.840e-03,-1.36,-0.104
-3.824e-03,-1.32,-0.056
-3.808e-03,-1.28,-0.024
-3.792e-03,-1.24,0.016
-3.776e-03,-1.16,0.048
-3.760e-03,-1.16,0.08
-3.744e-03,-1.16,0.112
-3.728e-03,-1.16,0.152
-3.712e-03,-1.12,0.192
-3.696e-03,-1.16,0.216
-3.680e-03,-1.2,0.248
-3.664e-03,-1.2,0.28
-3.648e-03,-1.24,0.312
-3.632e-03,-1.28,0.344
-3.616e-03,-1.32,0.384
-3.600e-03,-1.36,0.416
-3.584e-03,-1.4,0.456
-3.568e-03,-1.44,0.488
-3.552e-03,-1.44,0.528
-3.536e-03,-1.44,0.568
-3.520e-03,-1.44,0.6
-3.504e-03,-1.36,0.632
-3.488e-03,-1.28,0.656
-3.472e-03,-1.16,0.68
-3.456e-03,-1.04,0.696
-3.440e-03,-0.84,0.704
-3.424e-03,-0.6,0.704
-3.408e-03,-0.36,0.696
-3.392e-03,-0.08,0.68
-3.376e-03,0.24,0.648
-3.360e-03,0.48,0.616
-3.344e-03,0.8,0.568
-3.328e-03,1.12,0.512
-3.312e-03,1.36,0.448
-3.296e-03,1.6,0.392
-3.280e-03,1.8,0.312
-3.264e-03,2,0.232
-3.248e-03,2.12,0.16
-3.232e-03,2.2,0.08
-3.216e-03,2.28,0
-3.200e-03,2.4,-0.072
-3.184e-03,2.36,-0.144
-3.168e-03,2.36,-0.216
-3.152e-03,2.4,-0.288
-3.136e-03,2.36,-0.352
-3.120e-03,2.32,-0.416
-3.104e-03,2.32,-0.472
-3.088e-03,2.24,-0.536
-3.072e-03,2.16,-0.584
-3.056e-03,2.04,-0.632
-3.040e-03,1.92,-0.672
